CaseAcc,Animal,DateCollected,Age,Sex,waypoint,Measurement,MeasureValue,MeasurementUnit
25174-21,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Fork length,22.5,cm
25174-21,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Total length,23.9,cm
25174-21,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Weight carcass,201.1,g
25174-21,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Weight liver,1.489,g
25174-27,Snapper: Bluestriped,3/16/15,Adult,Female,Barbers Point FR1B,Fork length,21.6,cm
25174-27,Snapper: Bluestriped,3/16/15,Adult,Female,Barbers Point FR1B,Total length,22.8,cm
25174-27,Snapper: Bluestriped,3/16/15,Adult,Female,Barbers Point FR1B,Weight carcass,176.7,g
25174-27,Snapper: Bluestriped,3/16/15,Adult,Female,Barbers Point FR1B,Weight liver,0.982,g
25174-28,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Fork length,24.7,cm
25174-28,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Total length,26,cm
25174-28,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Weight carcass,270,g
25174-28,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Weight liver,1.462,g
25174-30,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Fork length,22,cm
25174-30,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Total length,23.2,cm
25174-30,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Weight carcass,187.7,g
25174-30,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Weight liver,0.914,g
25174-26,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Fork length,20.7,cm
25174-26,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Total length,21.7,cm
25174-26,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Weight carcass,148.3,g
25174-26,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Weight liver,0.649,g
25174-25,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Fork length,22,cm
25174-25,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Total length,23.4,cm
25174-25,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Weight carcass,189.9,g
25174-25,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Weight liver,1.432,g
25174-24,Snapper: Bluestriped,3/16/15,Adult,Female,Barbers Point FR1B,Fork length,25.7,cm
25174-24,Snapper: Bluestriped,3/16/15,Adult,Female,Barbers Point FR1B,Total length,27.2,cm
25174-24,Snapper: Bluestriped,3/16/15,Adult,Female,Barbers Point FR1B,Weight carcass,297,g
25174-24,Snapper: Bluestriped,3/16/15,Adult,Female,Barbers Point FR1B,Weight liver,1.777,g
25174-23,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Fork length,21.9,cm
25174-23,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Total length,23.2,cm
25174-23,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Weight carcass,184,g
25174-23,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Weight liver,1.212,g
25174-22,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Fork length,22.9,cm
25174-22,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Total length,24,cm
25174-22,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Weight carcass,225.3,g
25174-22,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Weight liver,1.389,g
25174-29,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Fork length,24.1,cm
25174-29,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Total length,25.4,cm
25174-29,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Weight carcass,229,g
25174-29,Snapper: Bluestriped,3/16/15,Adult,Male,Barbers Point FR1B,Weight liver,2.016,g
25260-15,Snapper: Bluestriped,11/16/15,Adult,Female,Barbers Point FR1B,Fork length,18,cm
25260-15,Snapper: Bluestriped,11/16/15,Adult,Female,Barbers Point FR1B,Total length,17.6,cm
25260-15,Snapper: Bluestriped,11/16/15,Adult,Female,Barbers Point FR1B,Weight carcass,85,g
25260-15,Snapper: Bluestriped,11/16/15,Adult,Female,Barbers Point FR1B,Weight liver,0.87,g
25260-11,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Fork length,25,cm
25260-11,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Total length,25.9,cm
25260-11,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Weight carcass,305,g
25260-11,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Weight liver,1.78,g
25260-20,Snapper: Bluestriped,11/16/15,Adult,Female,Barbers Point FR1B,Fork length,22.9,cm
25260-20,Snapper: Bluestriped,11/16/15,Adult,Female,Barbers Point FR1B,Total length,23.5,cm
25260-20,Snapper: Bluestriped,11/16/15,Adult,Female,Barbers Point FR1B,Weight carcass,238,g
25260-20,Snapper: Bluestriped,11/16/15,Adult,Female,Barbers Point FR1B,Weight liver,2.27,g
25260-19,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Fork length,23.9,cm
25260-19,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Total length,25,cm
25260-19,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Weight carcass,257,g
25260-19,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Weight liver,1.76,g
25260-18,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Fork length,21.4,cm
25260-18,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Total length,22.7,cm
25260-18,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Weight carcass,176,g
25260-18,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Weight liver,1.03,g
25260-16,Snapper: Bluestriped,11/16/15,Adult,Female,Barbers Point FR1B,Fork length,16.3,cm
25260-16,Snapper: Bluestriped,11/16/15,Adult,Female,Barbers Point FR1B,Total length,16.6,cm
25260-16,Snapper: Bluestriped,11/16/15,Adult,Female,Barbers Point FR1B,Weight carcass,75,g
25260-16,Snapper: Bluestriped,11/16/15,Adult,Female,Barbers Point FR1B,Weight liver,0.28,g
25260-14,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Fork length,23,cm
25260-14,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Total length,24.1,cm
25260-14,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Weight carcass,209,g
25260-14,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Weight liver,1.6,g
25260-13,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Fork length,23.1,cm
25260-13,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Total length,22.4,cm
25260-13,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Weight carcass,193,g
25260-13,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Weight liver,0.9,g
25260-12,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Fork length,17.8,cm
25260-12,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Total length,18.9,cm
25260-12,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Weight carcass,96,g
25260-12,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Weight liver,0.82,g
25260-17,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Fork length,22,cm
25260-17,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Total length,24.1,cm
25260-17,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Weight carcass,213,g
25260-17,Snapper: Bluestriped,11/16/15,Adult,Male,Barbers Point FR1B,Weight liver,1.14,g
25300-20,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Fork length,21.5,cm
25300-20,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Total length,23,cm
25300-20,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Weight carcass,182.2,g
25300-20,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Weight liver,1.07,g
25300-18,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Fork length,18.8,cm
25300-18,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Total length,20,cm
25300-18,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Weight carcass,103.7,g
25300-18,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Weight liver,0.636,g
25300-17,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Fork length,22.7,cm
25300-17,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Total length,24,cm
25300-17,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Weight carcass,208.7,g
25300-17,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Weight liver,2.739,g
25300-16,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Fork length,17.8,cm
25300-16,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Total length,18.8,cm
25300-16,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Weight carcass,93.6,g
25300-16,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Weight liver,0.416,g
25300-15,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Fork length,26.4,cm
25300-15,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Total length,27.9,cm
25300-15,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Weight carcass,329.7,g
25300-15,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Weight liver,2.428,g
25300-14,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Fork length,20.1,cm
25300-14,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Total length,21.3,cm
25300-14,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Weight carcass,134.2,g
25300-14,Snapper: Bluestriped,3/6/16,Adult,Female,Barbers Point FR1B,Weight liver,0.742,g
25300-13,Snapper: Bluestriped,3/6/16,Adult,Male,Barbers Point FR1B,Fork length,19.1,cm
25300-13,Snapper: Bluestriped,3/6/16,Adult,Male,Barbers Point FR1B,Total length,20.3,cm
25300-13,Snapper: Bluestriped,3/6/16,Adult,Male,Barbers Point FR1B,Weight carcass,107.7,g
25300-13,Snapper: Bluestriped,3/6/16,Adult,Male,Barbers Point FR1B,Weight liver,0.478,g
25300-12,Snapper: Bluestriped,3/6/16,Adult,Male,Barbers Point FR1B,Fork length,19,cm
25300-12,Snapper: Bluestriped,3/6/16,Adult,Male,Barbers Point FR1B,Total length,20,cm
25300-12,Snapper: Bluestriped,3/6/16,Adult,Male,Barbers Point FR1B,Weight carcass,110.9,g
25300-12,Snapper: Bluestriped,3/6/16,Adult,Male,Barbers Point FR1B,Weight liver,0.94,g
